,Date,sentiment_value,yesterday_sentiment,Open,High,Low,Close,Volume,avgprice,yvalue
0,1/2/2015,4.943019481,0,27.8475,27.860001,26.8375,27.3325,212818400,27.3487505,27.3487505
1,1/5/2015,1.01490861,4.943019481,27.0725,27.1625,26.352501,26.5625,257142000,26.7575005,-0.59125
2,1/6/2015,2.509604678,1.01490861,26.635,26.8575,26.157499,26.565001,263188400,26.5074995,-0.250001
3,1/7/2015,3.265148148,2.509604678,26.799999,27.049999,26.674999,26.9375,160423600,26.862499,0.3549995
4,1/8/2015,8.972554113,3.265148148,27.307501,28.0375,27.174999,27.9725,237458000,27.6062495,0.7437505
5,1/9/2015,8.83008658,8.972554113,28.1675,28.3125,27.5525,28.002501,214798000,27.9325,0.3262505
6,1/12/2015,5.079123978,8.83008658,28.15,28.157499,27.200001,27.3125,198603200,27.67875,-0.25375
7,1/13/2015,3.715277778,5.079123978,27.8575,28.200001,27.227501,27.555,268367600,27.713751,0.035001
8,1/14/2015,4.541616162,3.715277778,27.26,27.622499,27.125,27.450001,195826400,27.3737495,-0.3400015
9,1/15/2015,2.418127706,4.541616162,27.5,27.514999,26.665001,26.705,240056000,27.09,-0.2837495
10,1/16/2015,3.235732323,2.418127706,26.7575,26.895,26.299999,26.497499,314053200,26.5974995,-0.4925005
11,1/20/2015,1.5225,3.235732323,26.959999,27.2425,26.625,27.18,199599600,26.93375,0.3362505
12,1/21/2015,5.739285714,1.5225,27.237499,27.764999,27.067499,27.387501,194303600,27.416249,0.482499
13,1/22/2015,2.969987975,5.739285714,27.565001,28.1175,27.43,28.1,215185600,27.77375,0.357501
14,1/23/2015,2.822916667,2.969987975,28.075001,28.4375,27.8825,28.245001,185859200,28.16,0.38625
15,1/26/2015,3.681378066,2.822916667,28.434999,28.59,28.200001,28.275,222460000,28.3950005,0.2350005
16,1/27/2015,3.463823954,3.681378066,28.105,28.120001,27.2575,27.285,382274800,27.6887505,-0.70625
17,1/28/2015,5.3125,3.463823954,29.407499,29.530001,28.827499,28.827499,585908400,29.17875,1.4899995
18,1/29/2015,4.995357143,5.3125,29.08,29.797501,28.889999,29.725,337745600,29.34375,0.165
19,1/30/2015,4.46044252,4.995357143,29.6,30,29.2125,29.290001,334982000,29.60625,0.2625
20,2/2/2015,2.126136364,4.46044252,29.512501,29.7925,29.02,29.657499,250956400,29.40625,-0.2
21,2/3/2015,2.625732323,2.126136364,29.625,29.772499,29.4025,29.6625,207662800,29.5874995,0.1812495
22,2/4/2015,6.894660895,2.625732323,29.625,30.127501,29.577499,29.889999,280598800,29.8525,0.2650005
23,2/5/2015,4.408282828,6.894660895,30.004999,30.057501,29.8125,29.985001,168984800,29.9350005,0.0825005
24,2/6/2015,3.55974026,4.408282828,30.004999,30.0625,29.612499,29.7325,174826400,29.8374995,-0.097501
25,2/9/2015,4.977037037,3.55974026,29.637501,29.959999,29.6075,29.93,155559200,29.7837495,-0.05375
26,2/10/2015,8.476316739,4.977037037,30.0425,30.5375,30.040001,30.504999,248034000,30.2887505,0.505001
27,2/11/2015,7.815032468,8.476316739,30.692499,31.23,30.625,31.219999,294247200,30.9275,0.6387495
28,2/12/2015,6.129790765,7.815032468,31.514999,31.870001,31.3925,31.615,297898000,31.6312505,0.7037505
29,2/13/2015,2.605569986,6.129790765,31.82,31.82,31.4125,31.77,217088800,31.61625,-0.0150005
30,2/17/2015,5.241158009,2.605569986,31.872499,32.220001,31.73,31.9575,252609600,31.9750005,0.3587505
31,2/18/2015,3.720687229,5.241158009,31.907499,32.195,31.862499,32.18,179566800,32.0287495,0.053749
32,2/19/2015,4.039794372,3.720687229,32.119999,32.2575,32.0825,32.112499,149449600,32.17,0.1412505
33,2/20/2015,2.021688312,4.039794372,32.154999,32.375,32.012501,32.375,195793600,32.1937505,0.0237505
34,2/23/2015,6.66336039,2.021688312,32.505001,33.25,32.415001,33.25,283896400,32.8325005,0.63875
35,2/24/2015,5.597653319,6.66336039,33.235001,33.400002,32.7925,33.0425,276912400,33.096251,0.2637505
36,2/25/2015,6.666347403,5.597653319,32.889999,32.900002,32.037498,32.197498,298846800,32.46875,-0.627501
37,2/26/2015,2.450852573,6.666347403,32.197498,32.717499,31.6525,32.605,365150000,32.1849995,-0.2837505
38,2/27/2015,5.599087302,2.450852573,32.5,32.642502,32.060001,32.115002,248059200,32.3512515,0.166252
39,3/2/2015,2.701641414,5.599087302,32.3125,32.57,32.075001,32.272499,192386800,32.3225005,-0.028751
40,3/3/2015,2.540573593,2.701641414,32.240002,32.380001,32.022499,32.34,151265200,32.20125,-0.1212505
41,3/4/2015,3.700341233,2.540573593,32.275002,32.389999,32.080002,32.134998,126665200,32.2350005,0.0337505
42,3/5/2015,4.094291126,3.700341233,32.145,32.1875,31.440001,31.602501,226068400,31.8137505,-0.42125
43,3/6/2015,3.474657287,4.094291126,32.099998,32.342499,31.565001,31.65,291368400,31.95375,0.1399995
44,3/9/2015,4.595413059,3.474657287,31.99,32.392502,31.264999,31.785,354114000,31.8287505,-0.1249995
45,3/10/2015,5.670753968,4.595413059,31.602501,31.805,30.950001,31.127501,275426400,31.3775005,-0.45125
46,3/11/2015,5.97267316,5.670753968,31.1875,31.192499,30.5275,30.559999,275756000,30.8599995,-0.517501
47,3/12/2015,6.422247475,5.97267316,30.577499,31.225,30.407499,31.112499,193450800,30.8162495,-0.04375
48,3/13/2015,7.427243867,6.422247475,31.1,31.35,30.645,30.897499,207309200,30.9975,0.1812505
49,3/16/2015,2.961285714,7.427243867,30.969999,31.237499,30.717501,31.237499,143497200,30.9775,-0.02
50,3/17/2015,3.811126142,2.961285714,31.475,31.83,31.4125,31.76,204092400,31.62125,0.64375
51,3/18/2015,7.108982684,3.811126142,31.75,32.290001,31.592501,32.1175,261083600,31.941251,0.320001
52,3/19/2015,4.716792929,7.108982684,32.1875,32.3125,31.85,31.875,183238000,32.08125,0.139999
53,3/20/2015,4.491011003,4.716792929,32.0625,32.099998,31.290001,31.475,274780400,31.6949995,-0.3862505
54,3/23/2015,3.051962482,4.491011003,31.780001,31.9625,31.629999,31.8025,150838800,31.7962495,0.10125
55,3/24/2015,4.472388167,3.051962482,31.807501,32.009998,31.639999,31.672501,131369200,31.8249985,0.028749
56,3/26/2015,4.477669553,4.472388167,30.690001,31.219999,30.65,31.059999,190291600,30.9349995,-0.889999
57,3/27/2015,1.492121212,4.477669553,31.1425,31.174999,30.727501,30.8125,158184800,30.95125,0.0162505
58,3/30/2015,4.985782828,1.492121212,31.012501,31.6,31,31.592501,188398800,31.3,0.34875
59,3/31/2015,4.078981481,4.985782828,31.522499,31.622499,31.09,31.1075,168362400,31.3562495,0.0562495
60,4/1/2015,4.609007937,4.078981481,31.205,31.280001,30.775,31.0625,162485600,31.0275005,-0.328749
61,4/2/2015,6.493174603,4.609007937,31.2575,31.389999,31.047501,31.33,128880400,31.21875,0.1912495
